sents,labels
""" There is one child who visits the library every day , however , because he lives next door .",O O O B-Person I-Person O O B-Location I-Location B-Temporal I-Temporal O O O O B-Person O B-Location I-Location O
- Deter and counter state aggression .,O O O O O O O
". Near Al Huwayjah , two strikes disabled two bridges .",O O B-Location I-Location O O O O B-Location I-Location O
It was completed in 1956 by the German company Züblin .,O O O O B-Temporal O O B-Nationality O B-Organisation O
"Minister for the Middle East , Tobias Ellwood , responds to the attack in the Karrada district of Baghdad",B-Person I-Person I-Person I-Person I-Person O B-Person I-Person O O O O O O B-Location I-Location I-Location I-Location I-Location
"In the end I had to tell myself to stop ! "" "" """,O O O B-Person O O O B-Person O O O O O O
"He ' s also set up an art space for young poets , painters , and , of course , musicians .",B-Person O O O O O B-Location I-Location I-Location O B-Organisation I-Organisation O B-Organisation O O O O O O B-Organisation O
The Israeli government has previously neither confirmed nor denied that it carries out strikes in Syria .,B-Organisation I-Organisation I-Organisation O O O O O O O O O O O O B-Location O
"Whether deliberate or accidental , this was an indefensible attack , with at least ten people killed and vital aid to vulnerable people destroyed .",O O O O O O O O O O O O O O B-Quantity B-Organisation O O O O O B-Organisation I-Organisation O O
"“ They have further linked the various axes of advance into Mosul , which as we ’ ve mentioned previously makes the ISF ’ s job easier and ISIL ’ s job more difficult , ” Cook said .",O O O O O O O O O O O B-Location O O O O O O O O O B-Organisation I-Organisation O O O O O B-Organisation O O O O O O O B-Person O O
"Additionally in Iraq , Coalition military forces conducted 11 strikes coordinated with and in support of the government of Iraq using attack , bomber , fighter , and remotely piloted aircraft as well as rocket artillery against ISIL targets .",O O B-Location O B-Organisation I-Organisation I-Organisation O B-Quantity O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation O B-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform O O O B-Weapon I-Weapon O B-Organisation O O
"We have been clear , defeating ISIL will take time and patience but it is a fight we must win .",B-Organisation O O O O O B-Organisation O O O O O O O O O O B-Organisation O O O
"""",O
"I am appalled by reports of the murder of hundreds of people , the ill treatment of women and the recruitment of children as young as 10 as soldiers , executioners and suicide bombers .",B-Person O O O O O O O O B-Organisation I-Organisation I-Organisation O O O O O O O O O O O O O O B-Quantity O O O O O O O O
It is thought to have bombed weapons shipments intended for Lebanon ' s Hezbollah movement several times since Syria ' s civil war began in 2011 .,B-Organisation O O O O O O O O O B-Organisation O O B-Organisation I-Organisation O O O B-Location O O O O O O B-Temporal O
It doesn ’ t get any more real than this . ”,O O O O O O O O O O O O
FCO Minister Tobias Ellwood welcomes new budget deal as first step towards negotiating a solution to the issue of federal budget allocations,B-Person I-Person I-Person I-Person O O O O O O O O O O O O O O O O O O
"Speaking nearly 12 months after the fall of Mosul to ISIL terrorists , Tobias Ellwood said :",O O B-Temporal I-Temporal O O O O B-Location O B-Organisation I-Organisation O B-Person I-Person O O
"It is vital that all guarantors of the ceasefire use their influence to ensure it is adhered to , and that all parties take greater steps to ensure humanitarian aid reaches all those in need across Syria .",O O O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O O O O O B-Organisation I-Organisation O O O O O O O O O O O O O B-Location O
Minister Tobias Ellwood said :,B-Person I-Person I-Person O O
The situation in Aleppo remains dire with desperate images of destruction and a flagrant disregard for human life being splashed across the media on a daily basis .,O O O B-Location O O O O O O O O O O O O O O O O O O O O O O O O
"“ Of course , the global coalition continues to support Iraqi forces with air strikes - - eight in the last 24 hours in support of the Mosul operations - - as well as assistance from the ground . ”",O O O O B-Organisation I-Organisation I-Organisation O O O B-Organisation I-Organisation O O O O O B-Quantity O B-Temporal I-Temporal I-Temporal I-Temporal O O O O B-Location O O O O O O O O O O O O
I was pleased to meet a range of organisations to learn about the important work they do .,B-Person O O O O O O O B-Organisation O O O O O O B-Organisation O O
"After specific legal requirements and policy considerations have been concluded , Iraq will be able to benefit from this U.S. sovereign loan guarantee .",O O O O O O O O O O O B-Organisation O O O O O O O B-Organisation O O O O
More than five million people across Damascus also remain without access to the central water supply .,O O B-Quantity I-Quantity B-Organisation O B-Location O O O O O O O O O O
"My enlightened brain has now fed my soul too , "" "" he replies . """,O O O O O O O O O O O O B-Person O O O
"It will include a detailed discussion on the priorities needed to sustain the momentum of the campaign along our multiple lines of effort , including military , foreign terrorist fighters , counterterrorist financing , counter - messaging and stabilization of liberated areas .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Organisation I-Organisation I-Organisation O O O O O O O O O O B-Location I-Location O
"Hibhib ( Arabic : ن ا ح ي ة ه ب ه ب ‎ ‎ , Hibhib Village ) is a village in northern Iraq , located 8 km ( 5 . 0 mi ) northwest of Baquba .",B-Location O O O O O O O O O O O O O O O B-Location I-Location O O O O O B-Location I-Location O O B-Quantity I-Quantity O B-Quantity I-Quantity I-Quantity I-Quantity O O O B-Location O
This attack once again displays the type of horrific atrocities that ISIL has perpetrated against tens of thousands of innocent people across Syria and Iraq and affirms the need for international resolve to strengthen those on the ground fighting ISIL .,O O O O O O O O O O O B-Organisation O O O B-Quantity I-Quantity I-Quantity O B-Organisation I-Organisation O B-Location O B-Location O O O O O O O O O O O O O O B-Organisation O
"Last month , a key deal was reached to simplify the so - called rules of origin for Jordanian factories exporting to the European Union .",B-Temporal I-Temporal O O O O O O O O O O O O O O O O B-Organisation I-Organisation O O B-Organisation I-Organisation I-Organisation O
"The Members of the Security Council reiterate their support for Iraq ’ s democratic process and their support for the Iraq people in their fight against terrorism , in particular against ISIL .",B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O B-Organisation O O O O O O O O B-Organisation I-Organisation I-Organisation O O O O O O O O O B-Organisation O
""" "" "" We saw that it was vital to create a new library so that we could continue our education .",O O O B-Organisation O O O O O O O O O O O O B-Organisation O O O O O
“ It is a painful reminder of the dangers our men and women in uniform face around the world to keep us safe . ”,O O O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O O O
"Staff Sgt. Albert Connelly , an artillery crew chief in Abel Battery , 3rd Battalion , said “ we were able to give classes on the different systems we use in the machines . ” The exercise showcased the continuing cooperation within the two nations .",O O B-Person I-Person O B-Person I-Person I-Person I-Person I-Person I-Person I-Person I-Person I-Person I-Person O O O B-Organisation O O O O O O O O O B-Organisation O O O O O O O O O O O O O B-Organisation I-Organisation I-Organisation O
I welcome the news that the Government of Iraq has raised the Iraqi flag again in Tikrit .,B-Person O O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O B-Nationality O O O B-Location O
"Established by a group of professional businessmen in 2004 , it has 700 employees across Iraq , Lebanon , the United Arab Emirates and Jordan .",O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O B-Temporal O B-Organisation O B-Organisation I-Organisation O B-Location O B-Location O B-Location I-Location I-Location I-Location O B-Location O
We will continue to take actions to deny any safe haven for al - Qaida in Syria .,B-Organisation O O O O O O O O O O O B-Organisation I-Organisation I-Organisation O B-Location O
We remain firmly committed to working closely with Turkey within NATO and the counter - ISIL coalition as well as bilaterally to combat such threats to security and stability . ”,O O O O O O O O B-Organisation O B-Organisation O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O O O O O O O
"“ Mr Johnson also raised the situation in Ukraine , where there are continued violations of the Minsk agreements , and stressed the need for a sustainable ceasefire in Eastern Ukraine .",O B-Person I-Person O O O O O B-Location O O O O O O O B-DocumentReference I-DocumentReference I-DocumentReference O O O O O O O O O O B-Location I-Location O
Foreign Office Minister Tobias Ellwood said :,B-Person I-Person I-Person I-Person I-Person O O
"NAVCENT is responsible for approximately 2 . 5 million square miles of area including the Arabian Gulf , Gulf of Oman , North Arabian Sea , Gulf of Aden and the Red Sea .",B-Organisation O O O O B-Quantity I-Quantity I-Quantity I-Quantity I-Quantity I-Quantity O B-Location O B-Location I-Location I-Location O B-Location I-Location I-Location O B-Location I-Location I-Location O B-Location I-Location I-Location O B-Location I-Location I-Location O
"In Turkey , Special Advisor Thames will deliver remarks on the Department ’ s work to support religious minorities at the G - 20 Interfaith Conference .",O B-Location O B-Person I-Person I-Person O O O O B-Organisation I-Organisation O O O O O B-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O
European leaders pledged to ease trade regulations in return .,B-Organisation I-Organisation O O O O O O O O
Does hosting a Syrian Government website constitute a sanctions violation ?,O O O B-Organisation I-Organisation O O O O O O
"The reservoir ' s design capacity is 150 , 000 , 000 m3 ( 121 , 607 acre · ft ) but much of that is filled with sediment . [ 1 ] [ 2 ]",B-Location I-Location O O O O O B-Quantity I-Quantity I-Quantity I-Quantity I-Quantity I-Quantity O B-Quantity I-Quantity I-Quantity I-Quantity I-Quantity I-Quantity O O O O O O O O O O O O O O O O
"Coalition nations which have conducted strikes in Iraq include Australia , Belgium , Canada , Denmark , France , Jordan , the Netherlands , the United Kingdom , and the United States .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
""" "" "" In many cases we get books from bomb or shell - damaged homes .",O O O O O O O O B-DocumentReference O B-Weapon O B-Weapon O B-Location I-Location O
Terrestrial broadcasting 64 UHF NileSat 102 .,O O O O O O O
Now the authorities are experimenting with another possibility - that the presence of so many Syrians could boost the sluggish economy .,O B-Organisation I-Organisation O O O O O O O O O O O O O O O O O O O
"In a sun - baked field just outside the Jordanian city of Ramtha , a young group of Syrian men and women weave their way up and down rows of green peppers .",O B-Location I-Location I-Location I-Location I-Location O O B-Location I-Location I-Location I-Location I-Location O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O O O O
ISIL ’ s presence in the ancient site of Palmyra is a tragedy for all Syrians and its destruction would be a terrible act of vandalism .,B-Organisation O O O O B-Location I-Location I-Location I-Location I-Location O O O O B-Organisation I-Organisation O O O O O O O O O O O
Votel expressed his desire that the command attracts and retains the very best people to support these critical priorities and that they are fully enabled to develop and contribute to the mission .,B-Person O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Our policies are designed to assist ordinary citizens who are exercising their fundamental freedoms of expression , assembly and association , while preventing exports of goods and services that repressive regimes can use against their people .",B-Organisation O O O O O B-Organisation I-Organisation O O O O O O O O O O O O O O O O O O O O O B-Organisation I-Organisation O O O B-Organisation I-Organisation O
Foreign Secretary Philip Hammond said :,B-Person I-Person I-Person I-Person O O
Turkey is a key player in the region dealing with the Syrian conflict .,B-Organisation O O O O O O O O O O B-Nationality O O
"Our condolences go out to the families of the victims , and we hope for the swift recovery of those injured .",O O O O O B-Organisation I-Organisation O B-Organisation I-Organisation O O B-Organisation O O O O O O O O O
"U.S. Air Forces Central Command will release the results of the September 17 Dayr az Zawr , Syria airstrike investigation on a live , on - the - record conference call open to journalists , starting at 10 a.m. Nov. 29 , 2016 .",B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O B-Temporal I-Temporal B-Location I-Location I-Location I-Location I-Location O O O O O O O O O O O O O O O B-Organisation O O O B-Temporal I-Temporal B-Temporal I-Temporal I-Temporal I-Temporal O
"Russia has a special responsibility in this regard to press the regime to end its offensive attacks and strikes that kill civilians , immediately allow relief supplies , as determined solely by the UN , to reach all in need , and to comply completely with the Cessation of Hostilities , so that political talks aimed at ending the crisis have a chance to succeed .",B-Organisation O O O O O O O O O B-Organisation I-Organisation O O O O O O O O O O O O O O O O O O O O B-Organisation I-Organisation O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Assad ’ s brutal regime can never unite Syria and bring stability .,B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O B-Location O O O O
"A series of precision U.S. airstrikes against al - Qaida operatives this week in northwestern Syria ’ s Idlib province killed more than 20 militants and destroyed eight vehicles and nine structures , Pentagon Press Secretary Peter Cook told reporters today .",O O O O B-Organisation O O B-Organisation I-Organisation I-Organisation I-Organisation B-Temporal I-Temporal O B-Location I-Location O O B-Location I-Location O B-Quantity I-Quantity I-Quantity B-Organisation O O B-Quantity O O B-Quantity B-Location O B-Person I-Person I-Person I-Person I-Person O B-Organisation B-Temporal O
"Iraqi forces have seized full control of Mosul University in their battle with so - called Islamic State , Iraqi state television said .",B-Organisation I-Organisation O O O O O B-Location I-Location O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation O O
"During the call , Brig. Gen. Richard ' Tex ' Coe , the lead investigating officer , will present the findings and recommendations .",O O O O B-Person O B-Person I-Person I-Person I-Person I-Person O O O O O O O O O O O O O
The information used to compile the daily strike releases is based on ' Z ' or Greenwich Mean Time .,O O O O O O O O O O O O O O O O O O O O
The bridges were targeted by coalition air strikes in October with the aim of limiting the ability of IS to resupply or reinforce their positions in the east .,B-Location I-Location O O O B-Organisation B-Weapon I-Weapon O B-Temporal O O O O O O O O B-Organisation O O O O B-Location I-Location I-Location I-Location I-Location O
"Named by Coalition Commanders , "" "" Operation Steel Curtain "" "" , was a hardened sweep and clear mission hence "" "" steel curtain "" "" because one of the SNCOs was a Pittsburgh Steelers fan . """,O O B-Organisation I-Organisation O O O O O O O O O O O O O O O O O O O O O O O O B-Person I-Person I-Person I-Person O O B-Organisation I-Organisation O O O
State - run Syrian news agency Sana reported explosions at the Mezzeh military airport and said ambulances were rushing to the scene .,O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O B-Location I-Location I-Location I-Location O O O O O O O O O
"Over the last year the Global Coalition has launched almost 8 , 000 strikes against ISIL in Iraq and Syria and have taken back 30 % of territory ISIL once controlled in Iraq .",O B-Temporal I-Temporal I-Temporal B-Organisation I-Organisation I-Organisation O O O B-Quantity I-Quantity I-Quantity O O B-Organisation O B-Location O B-Location O O O O O O O O B-Organisation O O O B-Location O
"The scenarios developed will include border security , command and control , cyber defense and battlespace management .",O O O O O O O O O O O O O O O O O O
"Many of his comrades also have their own mini front line libraries , he says , adding that at just about every defence point , which are spaced about 50m apart , you will find a collection of borrowed books .",B-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O O B-Person O O O O O O O B-Location I-Location I-Location O O O O O B-Quantity O O O O O O O O O O O
Elite troops had entered the compound on Friday as part of a major push into new territory .,B-Organisation I-Organisation O O B-Location I-Location O B-Temporal O O O O O O O O O O
"For now though , Omar says the library is helping to strengthen the town ' s defences as well as its resolve .",O O O O B-Person O B-Location I-Location O O O O B-Location I-Location O O O O O O O O O
"It is most of all to contribute , in coordination with others , to a negotiated peace for a united and democratic Syria , and to help the Syrian people to rebuild their country once the political conditions are in place .",O O O O O O O O O O O O O O O O O O O O O O B-Location O O O O B-Organisation I-Organisation I-Organisation O O B-Location I-Location O O O O O O O O
"“ On behalf of the Department of Defense , I want to convey my deepest condolences to the families of the victims in Saturday ' s cowardly terrorist attack in Istanbul , ” the secretary said in a statement .",O O O O B-Organisation I-Organisation I-Organisation I-Organisation O B-Person O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O B-Location O O B-Person I-Person O O O O O
"The secretary added , “ Please keep this service member ' s family , friends and teammates in your thoughts and prayers , and this Thanksgiving I hope you will join me in expressing thanks to all of our dedicated troops who selflessly protect us every day . ”",B-Person I-Person O O O O O O O O O O O O O O O O O O O O O O B-Temporal I-Temporal B-Person O O O O B-Person O O O O O O O O O O O O O O O O O
Mr Alzoubi is convinced it is a win - win situation .,B-Person I-Person O O O O O O O O O O
"The most recent airstrikes bring the total number of munitions in support of the SDF since Dec. 5 to 922 , he added .",O O O O O O O O O B-Weapon O O O B-Organisation I-Organisation O B-Temporal I-Temporal O B-Quantity O O O O
Ambassador Robert Ford has completed his consultations in Washington and is returning to Syria .,B-Person I-Person I-Person O O O O O B-Location O O O O B-Location O
"The Brandbergen Mosque , officially the Islamic Association in Brandbergen is a mosque located in Brandbergen , Haninge Municipality , south of Stockholm , Sweden .",B-Location I-Location I-Location O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O B-Location I-Location O O B-Location I-Location I-Location I-Location O B-Location I-Location I-Location I-Location I-Location O
"With U.S. support , much of the site has been assessed and documented , emergency stabilization work has been undertaken , and completed a site management plan .",O B-Organisation O O O O B-Location I-Location O O O O O O O O O O O O O O O O O O O O
"U.S. assistance is helping keep schools open for Syrian children ; restoring access to electricity and water infrastructure ; supporting independent media and civil society to hold their local governments accountable , and building the capacity of the moderate opposition to play a role in a future Syria that respects human rights and the rule of law .",B-Organisation O O O O B-Location O O B-Organisation I-Organisation O O O O O O O O O O B-Organisation I-Organisation O B-Organisation I-Organisation O O B-Organisation I-Organisation I-Organisation O O O O O O O B-Organisation I-Organisation I-Organisation O O O O O O O B-Location O O O O O O O O O O
The United Nations Security Council has demonstrated the unity of the international community in working to defeat ISIL .,B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O B-Organisation I-Organisation I-Organisation O O O O B-Organisation O
It ’ s essential that the regime and its backers provide the United Nations that access with immediate effect .,O O O O O B-Organisation I-Organisation O O O O B-Organisation I-Organisation I-Organisation O O O O O O
"This is further shocking proof of the horrific and indiscriminate methods the Assad regime is using to kill and injure innocent civilians , including children .",O O O O O O O O O O O B-Organisation I-Organisation I-Organisation O O O O O O O B-Organisation O O B-Organisation O
Many in Iraq ' s National Symphony Orchestra have already left .,O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O
“ This attack only redoubles our resolve to stand shoulder - to - shoulder with our Turkish allies in condemning these attacks and relentlessly combating terrorism .,O O O O O B-Organisation O O O O O O O O O B-Organisation B-Organisation I-Organisation O O O O O O O O O
"At the same time , we are enormously grateful for the tremendous support provided by our Coalition partners , especially the Turks .",O O O O O B-Organisation O O O O O O O O O B-Organisation I-Organisation I-Organisation O O B-Organisation I-Organisation O
"In addition to setting conditions for the ultimate liberation of Raqqah , ISIL ’ s self - proclaimed capital , the operation will also cut off militants from ISIL in Mosul , Iraq .",O O O O O O O O O O B-Location O B-Location I-Location I-Location I-Location I-Location I-Location I-Location O O O O O O O B-Organisation O B-Organisation O B-Location O B-Location O
Last year ' s influx of hundreds of thousands to Europe partly resulted from cuts to food aid and cash payments .,B-Temporal I-Temporal O O O O B-Quantity I-Quantity I-Quantity O B-Location O O O O O O O O O O O
"On Monday , Dec. 26 , Abu Jandal al - Kuwaiti , an ISIL gang leader in Raqqah was struck and killed by a coalition airstrike near Tabqa Dam , Syria .",O B-Temporal I-Temporal I-Temporal I-Temporal O B-Person I-Person I-Person I-Person I-Person O O B-Organisation O O O B-Location O O O O O O B-Organisation B-Weapon O B-Location I-Location I-Location I-Location O
""" Force protection is my number one priority here . """,O O O O B-Person O O O O O O
"Coalition nations which have conducted strikes in Syria include Australia , Bahrain , Canada , Denmark , France , Jordan , the Netherlands , Saudi Arabia , Turkey , United Arab Emirates , the United Kingdom , and the United States .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The Iraqi military has said it is looking into the incident .,B-Organisation I-Organisation I-Organisation O O B-Organisation O O O O O O
Who can say when their paths will cross once more or what Iraq will be like then ?,O O O O O O O O O O O O B-Location O O O O O
"But significant gains along the river may open up western Mosul , which is still under IS control , to Iraqi forces seeking to advance .",O O O O B-Location I-Location O O O B-Location I-Location O O O O O B-Organisation O O O B-Organisation I-Organisation O O O O
Donors also want to reduce dependence on handouts .,B-Organisation O O O O O O B-Money O
"The Secretary of State has authorized a reward of up to $ 5 million for information leading to the significant disruption of the sale and / or trade of oil and antiquities by , for , on behalf of , or to benefit ISIL , also known by its Arabic acronym as DAESH .",B-Person I-Person I-Person I-Person O O O O O O O B-Money I-Money I-Money O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Organisation O O O O O O O O B-Organisation O
Tobias Ellwood condemns ISIL ’ s treatment of residents of Mosul and reiterates the UK ’ s commitment to defeating this terrorist organisation .,B-Person I-Person O B-Organisation O O O O B-Organisation I-Organisation I-Organisation O O O B-Organisation O O O O O O B-Organisation I-Organisation O
They were also allegedly beaten with sticks and gun butts .,B-Organisation O O O O O O O B-Weapon I-Weapon O
"The UK , the wider Global Coalition and the Government of Iraq are committed to defeating these terrorists and have already supported the re - taking by Iraqi security forces of over 25 % of Iraqi territory , including Tikrit .",B-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation I-Organisation O O O O B-Organisation I-Organisation O O O O O O O O O B-Organisation I-Organisation I-Organisation O O B-Quantity I-Quantity O B-Location I-Location O O B-Location O
""" "" "" We used to hire Egyptians at two Jordanian dinars ( £ 2 . 10 ; $ 2 . 80 ) an hour .",O O O B-Organisation O O O B-Organisation O B-Money I-Money I-Money O B-Money I-Money I-Money I-Money O B-Money I-Money I-Money I-Money O O O O
We have been in touch with senior Iraqi officials to ensure that the Government of Iraq renders all possible medical and emergency assistance to the victims .,B-Organisation O O O O O B-Organisation I-Organisation I-Organisation O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O B-Organisation I-Organisation O
"They also discussed military , humanitarian and stabilisation planning for forthcoming operations to free the city of Mosul .",B-Organisation O O O O O O O O O O O O O B-Location I-Location I-Location I-Location O
"In Lebanon , Special Advisor Thames will meet with religious and civic leaders to discuss interfaith relations within the Lebanese religious communities and to address the plight of vulnerable religious minority refugee populations coming to Lebanon from Syria and Iraq .",O B-Location O B-Person I-Person I-Person O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation O O B-Location O B-Location O B-Location O
The Foreign Secretary said :,B-Person I-Person I-Person O O
"The French previously led CTF 50 last December , commanding it from the nuclear - powered aircraft carrier FS Charles de Gaulle .",O O O O B-Organisation I-Organisation B-Temporal I-Temporal O O O O O O O O O O B-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform O
Some members of the Syrian Computer Society belonged to the first group of supporters of the Syrian Electronic Army . [ 4 ],B-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O
"The Prime Minister and President Hollande discussed UK - France co - operation on counter - terrorism , migration , defence and nuclear energy .",B-Person I-Person I-Person O B-Person I-Person O B-Organisation O B-Organisation O O O O O O O O O O O O O O O
“ Working with them was enjoyable ; the Jordanians are extremely knowledgeable with their systems . ”,O O O B-Organisation O O O B-Organisation I-Organisation O O O O O O O O
"These actions demonstrate a disregard for the Cessation of Hostilities , UN Security Council Resolution 2254 , and efforts to advance a political solution to the conflict , as well as its own commitments to facilitate full access for humanitarian relief supplies .",O O O O O O O O O O O B-DocumentReference I-DocumentReference I-DocumentReference I-DocumentReference I-DocumentReference O O O O O O O O O O O O O O O O O O O O O O O O O O O
"With support from 14 donor countries over the last two years , the SRTF is delivering over 20 projects that reach 2 million Syrians in the sectors of health , food security , water , electricity , agriculture , and waste management in areas of moderate opposition control inside Syria .",O O O B-Quantity B-Organisation I-Organisation O O O O O O B-Organisation I-Organisation O O O B-Quantity O O O B-Quantity I-Quantity B-Organisation O O O O O O O O O O O O O O O O O O O O O O O O O B-Location O
"But , I ask him , in a besieged town that has only had access to two aid convoys in nearly four years , wouldn ' t it make more sense for the library enthusiasts to spend their time looking for food rather than books ?",O O B-Person O B-Person O O B-Location I-Location I-Location O O O O O O B-Quantity O O O B-Temporal I-Temporal I-Temporal O O O O O O O O O O O O O O O O O O O O O O O
The French anti - air frigate FS Forbin joined U.S. Naval Forces Central Command ' s ( NAVCENT ) Task Force ( CTF ) 50 on Dec. 27 .,B-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O B-Organisation O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O B-Temporal I-Temporal O
"Alsumaria have exclusive rights to broadcast movies , documentaries , musicals , children , entertainment , and sports shows .",B-Organisation O O O O O O O O O O O O O O O O O O O
The UN says this reinforces fears that IS will use civilians as human shields .,B-Organisation I-Organisation O O O O O B-Organisation O O B-Organisation O O O O
"More than 650 , 000 Syrians are registered as refugees in Jordan .",O O B-Quantity I-Quantity I-Quantity B-Organisation O O O O O B-Location O
"We read how in the past everyone turned their backs on a particular nation , yet they still made it .",B-Organisation O O O O O O O O O O O O O O O O O O O O
"It allows more imported raw materials to be used in finished products that are labelled as Jordan - made , so they get duty - free access to EU markets .",O O O O O O O O O O O O O O O O B-Nationality O O O O O O O O O O O B-Organisation I-Organisation O
"There ' s no problem . "" "" """,O O O O O O O O O
"A U.S. strike on Jan. 1 hit two al - Qaida vehicles that had departed a large al - Qaida headquarters near Sarmada , Syria , Cook said .",O B-Organisation B-Weapon O B-Temporal I-Temporal O B-Quantity O O O O O O O B-Location I-Location I-Location I-Location I-Location I-Location O B-Location I-Location I-Location O B-Person O O
"In addition to facilitating access to essential financing as Iraq addresses multiple humanitarian crises , the guarantee agreement bolsters important economic and institutional reforms aimed at consolidating a foundation for stability and growth .",O O O O O O O O O B-Organisation O O O O O O O O O O O O O O O O O O O O O O O O
"Down a flight of steep steps , as far as it ' s possible to go from the flying shrapnel , shelling and snipers ' bullets above , is a large dimly lit room .",O O O O O O O O O O O O O O O O O O O O O O O B-Weapon I-Weapon I-Weapon O O O O O O O O O
"Coalition nations which have conducted strikes in Iraq include Australia , Belgium , Canada , Denmark , France , Jordan , the Netherlands , the United Kingdom , and the United States .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
These sanctions show that EU is united in its condemnation of Assad ’ s brutal policies .,O O O O B-Organisation O O O O O O B-Person O O O O O
". Near Tal Afar , three strikes destroyed an ISIL - held building and four UAV construction facilities .",O O B-Location I-Location O B-Quantity B-Weapon O B-Location I-Location I-Location I-Location I-Location O B-Quantity B-Location I-Location I-Location O
This was one of the most appalling incidents of the conflict so far .,O O O O O O O O O O O O O O
"With the progress made in both Vienna and now in Riyadh , the International Syria Support Group continues to build a foundation for constructive negotiations in January under UN auspices , regarding a political transition in accordance with the Geneva Communique of 2012 .",O O O O O O B-Location O O O B-Location O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O O B-Temporal O B-Organisation O O O O O O O O O B-DocumentReference I-DocumentReference I-DocumentReference I-DocumentReference I-DocumentReference O
"But if implemented fully , the cessation can open the way to unhindered and countrywide humanitarian access to those in need . And , most of all , if successful it can open the way to a renewal of intra - Syrian talks under UN auspices , within the framework set by the UN Security Council . In this respect , we would welcome any intermediate step facilitated by other international players , such as the announced meeting in Astana , if fully inclusive and aimed at preparing a fruitful and meaningful resumption of intra - Syrian talks in Geneva under UN auspices . To this aim , I have spoken today to Turkish Foreign Minister Mevl ü t Ç avu ş o ğ lu and to the UN Special Envoy Staffan de Mistura , to coordinate our work for Syria . The European Union is continuing its work with the regional parties .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Nationality O O B-Organisation O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O O B-Organisation O O O O O O O B-Organisation I-Organisation I-Organisation O O O O O O O B-Location O O O O O O O O O O O O O O O O B-Nationality O O B-Location O B-Organisation O O O O O O B-Person O O B-Temporal O B-Person I-Person I-Person I-Person I-Person I-Person I-Person I-Person I-Person I-Person I-Person I-Person O O B-Person I-Person I-Person I-Person I-Person I-Person I-Person O O O O O O B-Location O B-Organisation I-Organisation I-Organisation O O O O O B-Organisation I-Organisation I-Organisation O
